periodbin,radiusbin,GAMMA_YIELD,GAMMA_YIELD_upper,GAMMA_YIELD_lower,MONO_GAMMA_YIELD,MONO_GAMMA_YIELD_upper,MONO_GAMMA_YIELD_lower,DUO_GAMMA_YIELD,DUO_GAMMA_YIELD_upper,DUO_GAMMA_YIELD_lower,TRIO_GAMMA_YIELD,TRIO_GAMMA_YIELD_upper,TRIO_GAMMA_YIELD_lower,MULTI_GAMMA_YIELD,MULTI_GAMMA_YIELD_upper,MULTI_GAMMA_YIELD_lower,TSM_CUTOFF_GAMMA_YIELD,TSM_CUTOFF_GAMMA_YIELD_upper,TSM_CUTOFF_GAMMA_YIELD_lower,THR_7-3_YIELD,THR_7-3_YIELD_upper,THR_7-3_YIELD_lower,MONO_THR_7-3_YIELD,MONO_THR_7-3_YIELD_upper,MONO_THR_7-3_YIELD_lower,DUO_THR_7-3_YIELD,DUO_THR_7-3_YIELD_upper,DUO_THR_7-3_YIELD_lower,TRIO_THR_7-3_YIELD,TRIO_THR_7-3_YIELD_upper,TRIO_THR_7-3_YIELD_lower,MULTI_THR_7-3_YIELD,MULTI_THR_7-3_YIELD_upper,MULTI_THR_7-3_YIELD_lower,TSM_CUTOFF_THR_7-3_YIELD,TSM_CUTOFF_THR_7-3_YIELD_upper,TSM_CUTOFF_THR_7-3_YIELD_lower,THR_20_YIELD,THR_20_YIELD_upper,THR_20_YIELD_lower,MONO_THR_20_YIELD,MONO_THR_20_YIELD_upper,MONO_THR_20_YIELD_lower,DUO_THR_20_YIELD,DUO_THR_20_YIELD_upper,DUO_THR_20_YIELD_lower,TRIO_THR_20_YIELD,TRIO_THR_20_YIELD_upper,TRIO_THR_20_YIELD_lower,MULTI_THR_20_YIELD,MULTI_THR_20_YIELD_upper,MULTI_THR_20_YIELD_lower,TSM_CUTOFF_THR_20_YIELD,TSM_CUTOFF_THR_20_YIELD_upper,TSM_CUTOFF_THR_20_YIELD_lower,TRUE_DUO_GAMMA_YIELD,TRUE_DUO_GAMMA_YIELD_upper,TRUE_DUO_GAMMA_YIELD_lower,TRUE_DUO_THR_7-3_YIELD,TRUE_DUO_THR_7-3_YIELD_upper,TRUE_DUO_THR_7-3_YIELD_lower,TRUE_DUO_THR_20_YIELD,TRUE_DUO_THR_20_YIELD_upper,TRUE_DUO_THR_20_YIELD_lower
"(0.78, 1.56]","(0.5, 0.71]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(0.78, 1.56]","(0.71, 1.0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(0.78, 1.56]","(1.0, 1.41]",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(0.78, 1.56]","(1.41, 2.0]",6,3,3,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,10,4,4,0,0,0,0,0,0,0,0,0,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(0.78, 1.56]","(2.0, 2.83]",1,9,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,14,1,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"(0.78, 1.56]","(2.83, 4.0]",6,16,5,0,0,0,0,0,0,0,0,0,6,16,5,0,1,0,9,22,7,0,0,0,0,0,0,0,0,0,9,22,7,0,2,0,1,5,1,0,0,0,0,0,0,0,0,0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0
"(0.78, 1.56]","(4.0, 5.66]",10,33,10,0,0,0,0,0,0,0,0,0,10,33,10,0,3,1,13,41,13,0,0,0,0,0,0,0,0,0,13,41,13,0,3,1,4,16,4,0,0,0,0,0,0,0,0,0,4,16,4,0,3,1,0,0,0,0,0,0,0,0,0
"(0.78, 1.56]","(5.66, 8.0]",0,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,10,0,0,59,0,0,0,0,0,0,0,0,0,0,0,59,0,0,11,0,0,34,0,0,0,0,0,0,0,0,0,0,0,34,0,0,11,0,0,0,0,0,0,0,0,0,0
"(0.78, 1.56]","(8.0, 11.31]",0,57,0,0,0,0,0,0,0,0,0,0,0,57,0,0,27,0,0,64,0,0,0,0,0,0,0,0,0,0,0,64,0,0,29,0,0,53,0,0,0,0,0,0,0,0,0,0,0,53,0,0,29,0,0,0,0,0,0,0,0,0,0
"(0.78, 1.56]","(11.31, 16.0]",78,46,27,0,0,0,0,0,0,0,0,0,78,46,27,53,32,19,87,53,31,0,0,0,0,0,0,0,0,0,87,53,31,58,35,21,80,50,29,0,0,0,0,0,0,0,0,0,80,50,29,58,35,20,0,0,0,0,0,0,0,0,0
"(1.56, 3.13]","(0.5, 0.71]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1.56, 3.13]","(0.71, 1.0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1.56, 3.13]","(1.0, 1.41]",0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1.56, 3.13]","(1.41, 2.0]",10,2,2,0,0,0,0,0,0,0,0,0,10,2,2,0,0,0,16,4,3,0,0,0,0,0,0,0,0,0,16,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1.56, 3.13]","(2.0, 2.83]",13,7,4,0,0,0,0,0,0,0,0,0,13,7,4,0,0,0,20,11,6,0,0,0,0,0,0,0,0,0,20,11,6,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"(1.56, 3.13]","(2.83, 4.0]",24,16,9,0,0,0,0,0,0,0,0,0,24,16,9,0,2,1,36,22,12,0,0,0,0,0,0,0,0,0,36,22,12,1,3,1,5,5,2,0,0,0,0,0,0,0,0,0,5,5,2,0,2,1,0,0,0,0,0,0,0,0,0
"(1.56, 3.13]","(4.0, 5.66]",13,27,8,0,0,0,0,0,0,0,0,0,13,27,8,0,1,1,17,35,11,0,0,0,0,0,0,0,0,0,17,35,11,0,1,1,4,11,3,0,0,0,0,0,0,0,0,0,4,11,3,0,1,1,0,0,0,0,0,0,0,0,0
"(1.56, 3.13]","(5.66, 8.0]",0,37,0,0,0,0,0,0,0,0,0,0,0,37,0,0,4,0,0,45,0,0,0,0,0,0,0,0,0,0,0,45,0,0,5,0,0,23,0,0,0,0,0,0,0,0,0,0,0,23,0,0,5,0,0,0,0,0,0,0,0,0,0
"(1.56, 3.13]","(8.0, 11.31]",16,49,11,0,0,0,0,0,0,0,0,0,16,49,11,3,15,3,19,58,13,0,0,0,0,0,0,0,0,0,19,58,13,4,17,3,14,42,9,0,0,0,0,0,0,0,0,0,14,42,9,4,17,3,0,0,0,0,0,0,0,0,0
"(1.56, 3.13]","(11.31, 16.0]",184,73,52,0,0,0,0,0,0,0,0,0,184,73,52,94,37,26,209,83,59,0,0,0,0,0,0,0,0,0,209,83,59,106,41,29,190,75,53,0,0,0,0,0,0,0,0,0,190,75,53,105,40,29,0,0,0,0,0,0,0,0,0
"(3.13, 6.25]","(0.5, 0.71]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(3.13, 6.25]","(0.71, 1.0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(3.13, 6.25]","(1.0, 1.41]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(3.13, 6.25]","(1.41, 2.0]",12,2,1,0,0,0,0,0,0,0,0,0,12,2,1,0,0,0,23,3,3,0,0,0,0,0,0,0,0,0,21,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(3.13, 6.25]","(2.0, 2.83]",42,8,6,0,0,0,0,0,0,0,0,0,41,8,6,0,1,1,66,13,11,0,0,0,0,0,0,1,0,0,63,13,11,1,0,0,4,2,1,0,0,0,0,0,0,0,0,0,4,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"(3.13, 6.25]","(2.83, 4.0]",42,17,12,0,0,0,0,0,0,0,1,1,39,17,12,1,1,1,63,26,19,0,0,0,0,0,0,1,1,1,62,23,17,1,2,1,8,5,3,0,0,0,0,0,0,0,0,0,8,4,2,1,1,1,0,0,0,0,0,0,0,0,0
"(3.13, 6.25]","(4.0, 5.66]",66,25,19,0,0,0,0,0,0,2,1,0,62,24,18,1,1,1,95,36,27,0,0,0,0,0,0,4,2,2,88,34,26,2,1,1,22,9,6,0,0,0,0,0,0,0,0,0,20,9,7,2,1,1,0,0,0,0,0,0,0,0,0
"(3.13, 6.25]","(5.66, 8.0]",64,32,22,0,0,0,0,0,0,2,1,1,59,30,20,5,3,2,85,42,29,0,0,0,0,0,0,5,3,1,78,39,26,6,3,2,38,19,12,0,0,0,0,0,0,0,1,1,34,18,12,6,3,2,0,0,0,0,0,0,0,0,0
"(3.13, 6.25]","(8.0, 11.31]",81,52,31,0,0,0,0,0,0,4,3,2,75,47,28,18,9,6,102,66,39,0,0,0,0,1,1,7,5,3,92,59,35,23,11,7,72,43,27,0,0,0,0,0,0,4,2,1,67,39,25,22,11,7,0,0,0,0,0,0,0,0,0
"(3.13, 6.25]","(11.31, 16.0]",197,72,56,0,0,0,1,0,0,12,5,3,182,66,51,65,26,17,242,87,68,0,0,0,1,1,1,19,7,5,219,79,62,77,33,22,205,76,59,0,0,0,1,0,0,13,5,5,187,69,54,76,32,22,0,0,0,0,0,0,0,0,0
"(6.25, 12.5]","(0.5, 0.71]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(6.25, 12.5]","(0.71, 1.0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(6.25, 12.5]","(1.0, 1.41]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(6.25, 12.5]","(1.41, 2.0]",5,1,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,10,2,2,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(6.25, 12.5]","(2.0, 2.83]",48,6,5,0,0,0,4,1,1,5,1,1,35,4,4,0,0,0,85,11,9,0,0,0,11,2,2,11,2,2,57,6,6,1,0,0,5,1,1,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"(6.25, 12.5]","(2.83, 4.0]",29,12,7,0,0,0,2,2,1,2,2,1,20,6,4,0,1,0,53,20,12,0,0,0,9,5,2,8,4,2,29,10,7,1,1,0,6,2,1,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"(6.25, 12.5]","(4.0, 5.66]",34,16,12,0,0,0,6,4,3,5,3,3,16,9,7,0,0,0,56,25,19,0,0,0,15,8,6,11,5,4,25,12,9,0,1,1,12,5,4,0,0,0,1,1,1,0,1,1,5,3,3,0,1,0,0,0,0,0,0,0,0,0,0
"(6.25, 12.5]","(5.66, 8.0]",24,29,11,0,0,0,5,9,2,4,6,2,11,12,5,0,1,0,39,45,17,0,1,0,11,16,6,8,10,4,17,16,7,0,2,1,10,19,5,0,0,0,1,5,1,1,4,1,5,9,2,0,2,1,0,0,0,0,0,0,0,0,0
"(6.25, 12.5]","(8.0, 11.31]",73,37,25,0,1,1,23,12,7,15,8,5,29,15,9,10,4,3,112,54,36,3,3,1,41,20,13,26,12,8,36,19,12,14,7,4,68,32,21,1,1,0,20,10,7,14,8,5,26,13,8,14,7,4,0,0,0,0,0,0,0,0,0
